,start_learning_rate,width,depth,l2_weight,train_loss,val_loss,train_acc,val_acc
0,0.1,4.0,1.0,0.01,0.3363440514250581,0.3311919182445584,0.3362476847569203,0.33109555157642034
1,0.1,4.0,1.0,0.01,0.3111561081434536,0.30243023732130736,0.26196455836126487,0.2532386875391186
2,0.1,4.0,1.0,0.001,0.3096574573808704,0.3049090271386981,0.25918292925645925,0.25443449901428694
3,0.1,4.0,1.0,0.001,0.3096171419109088,0.30453660335121496,0.25914919922608654,0.2540686606663926
4,0.1,4.0,1.0,0.0001,0.26692577813500734,0.2614242571284385,0.17637846350163974,0.17087694249507088
5,0.1,4.0,1.0,0.0001,0.3363314470680382,0.3311793138845069,0.3362476847710427,0.33109555158751125
6,0.1,4.0,2.0,0.01,0.2634199979252219,0.27270018520359407,0.13366684704336196,0.14294703432173417
7,0.1,4.0,2.0,0.01,0.2600243251083017,0.26666217151867233,0.11814863868855142,0.12478648509892203
8,0.1,4.0,2.0,0.001,0.33638260797077524,0.3312304747871587,0.33624768476521155,0.3310955515815951
9,0.1,4.0,2.0,0.001,0.314130225731028,0.3212973011283147,0.2548913638944553,0.2620584392917421
10,0.1,4.0,2.0,0.0001,0.2611913836226454,0.2656896783750793,0.12018921655235187,0.12468751130478578
11,0.1,4.0,2.0,0.0001,0.2611028701985003,0.2714199436901499,0.1207571404703636,0.13107421396201308
12,0.1,4.0,4.0,0.01,0.3364708672846547,0.3313187341010386,0.33624768476521244,0.33109555158159637
13,0.1,4.0,4.0,0.01,0.3364489023704026,0.3312967691867864,0.33624768476521255,0.33109555158159654
14,0.1,4.0,4.0,0.001,0.33692148885104156,0.33257458808218265,0.2579390885385708,0.253592187769712
15,0.1,4.0,4.0,0.001,0.3368882154094202,0.3378335300691669,0.2595411693963618,0.26048648405610847
16,0.1,4.0,4.0,0.0001,0.33649388842327305,0.3313417552396569,0.33624768476521244,0.33109555158159637
17,0.1,4.0,4.0,0.0001,0.3329150221727009,0.340136688920512,0.2545223569388065,0.26174402368661764
